Variant,Model,Accuracy
Median Impute,Logistic,0.8391608391608392
Median Impute,RandomForest,0.8461538461538461
Median Impute,XGBoost,0.8181818181818182
Median Impute,Voting,0.8391608391608392
Group Impute,Logistic,0.8251748251748252
Group Impute,RandomForest,0.8461538461538461
Group Impute,XGBoost,0.8321678321678322
Group Impute,Voting,0.8391608391608392
Model Impute,Logistic,0.8391608391608392
Model Impute,RandomForest,0.8461538461538461
Model Impute,XGBoost,0.8321678321678322
Model Impute,Voting,0.8391608391608392
